epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.911,1.71133,2.62582,1.5277,0.53301,0.47466,0.47384,0.23988,1.69488,1.95502,1.51975,0.00025577,0.00025577,0.00025577
2,276.445,1.6565,1.80995,1.4699,0.55638,0.52464,0.53945,0.28283,1.69856,1.80375,1.53058,0.000505766,0.000505766,0.000505766
3,376.766,1.63967,1.65867,1.46015,0.60869,0.56402,0.60458,0.31826,1.63488,1.47077,1.48183,0.000749418,0.000749418,0.000749418
4,459.388,1.61413,1.59415,1.43218,0.59813,0.61985,0.63012,0.32399,1.66431,1.41864,1.51045,0.000740451,0.000740451,0.000740451
5,548.142,1.56105,1.46199,1.39495,0.66081,0.62836,0.65194,0.35664,1.56381,1.33756,1.42754,0.000730935,0.000730935,0.000730935
6,611.617,1.54903,1.40978,1.37495,0.66626,0.62779,0.67824,0.36645,1.60894,1.26585,1.44537,0.000721418,0.000721418,0.000721418
7,670.563,1.5182,1.34825,1.35476,0.67984,0.64131,0.6866,0.37818,1.59524,1.23566,1.42001,0.000711902,0.000711902,0.000711902
8,735.907,1.50223,1.31691,1.33726,0.67236,0.65309,0.68845,0.39118,1.52019,1.19017,1.38473,0.000702385,0.000702385,0.000702385
9,806.643,1.50306,1.28574,1.33547,0.65544,0.68152,0.69826,0.36981,1.64567,1.22309,1.43422,0.000692869,0.000692869,0.000692869
10,865.749,1.47635,1.24614,1.32305,0.73357,0.67365,0.71798,0.39813,1.55462,1.14505,1.39802,0.000683353,0.000683353,0.000683353
11,916.479,1.46193,1.23169,1.311,0.70402,0.67979,0.72196,0.4096,1.52067,1.13712,1.3601,0.000673836,0.000673836,0.000673836
12,972.242,1.44784,1.21368,1.30548,0.71001,0.68438,0.72961,0.41075,1.53854,1.13268,1.38517,0.00066432,0.00066432,0.00066432
13,1028.35,1.44104,1.18713,1.30065,0.72162,0.66866,0.73239,0.40125,1.57285,1.13167,1.38321,0.000654804,0.000654804,0.000654804
14,1084.99,1.4337,1.17448,1.29367,0.71736,0.69123,0.73927,0.4081,1.56519,1.09813,1.39322,0.000645287,0.000645287,0.000645287
15,1142.78,1.4358,1.17301,1.29954,0.7137,0.70483,0.73674,0.41023,1.53582,1.09203,1.3691,0.000635771,0.000635771,0.000635771
16,1198.38,1.427,1.13392,1.28305,0.71533,0.70486,0.74191,0.42119,1.51787,1.08287,1.36413,0.000626254,0.000626254,0.000626254
17,1250.27,1.41675,1.12454,1.28489,0.72466,0.72228,0.75721,0.41519,1.55633,1.07315,1.38209,0.000616738,0.000616738,0.000616738
