epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.222,1.70261,2.52712,1.51693,0.53005,0.523,0.49143,0.2641,1.69994,1.9394,1.53179,0.00025577,0.00025577,0.00025577
2,234.543,1.68348,1.82288,1.47992,0.62681,0.56654,0.59293,0.30836,1.68072,1.61723,1.51336,0.000505766,0.000505766,0.000505766
3,331.345,1.67103,1.74323,1.48088,0.57863,0.56808,0.57175,0.30038,1.65004,1.5057,1.48526,0.000749418,0.000749418,0.000749418
4,425.149,1.63741,1.68251,1.4541,0.6045,0.61961,0.63147,0.32525,1.68452,1.42072,1.50682,0.000740451,0.000740451,0.000740451
5,513.408,1.58661,1.53427,1.40967,0.68296,0.61833,0.66796,0.36007,1.61391,1.32764,1.46756,0.000730935,0.000730935,0.000730935
6,594.963,1.57475,1.47305,1.39702,0.66708,0.64909,0.68703,0.36933,1.60537,1.26342,1.42324,0.000721418,0.000721418,0.000721418
7,675.398,1.54097,1.40297,1.37457,0.69681,0.65539,0.70305,0.393,1.54751,1.2148,1.40411,0.000711902,0.000711902,0.000711902
8,746.191,1.52825,1.37085,1.3584,0.69509,0.66552,0.70986,0.39422,1.55086,1.15487,1.41306,0.000702385,0.000702385,0.000702385
9,821.476,1.5199,1.33417,1.35566,0.68262,0.68456,0.7107,0.3818,1.62561,1.18042,1.424,0.000692869,0.000692869,0.000692869
10,888.788,1.496,1.29937,1.33652,0.70111,0.69224,0.74091,0.41854,1.50926,1.12148,1.38201,0.000683353,0.000683353,0.000683353
11,953.422,1.47578,1.27165,1.33177,0.70097,0.68591,0.71888,0.40886,1.53619,1.17301,1.40417,0.000673836,0.000673836,0.000673836
12,1016.33,1.46962,1.24983,1.32283,0.72757,0.67449,0.73146,0.4144,1.52897,1.10612,1.38915,0.00066432,0.00066432,0.00066432
13,1086.06,1.45799,1.22852,1.31961,0.73415,0.70442,0.76257,0.43503,1.50498,1.09661,1.3812,0.000654804,0.000654804,0.000654804
14,1154.56,1.452,1.21293,1.31078,0.72518,0.72507,0.77007,0.42998,1.53153,1.04951,1.37245,0.000645287,0.000645287,0.000645287
15,1220.58,1.45474,1.20976,1.31686,0.69637,0.74585,0.7653,0.42988,1.51492,1.05753,1.36249,0.000635771,0.000635771,0.000635771
16,1288.28,1.44884,1.15979,1.30198,0.72981,0.74272,0.77634,0.44139,1.49968,1.01937,1.35417,0.000626254,0.000626254,0.000626254
17,1357.78,1.42897,1.14724,1.29646,0.75052,0.73798,0.78685,0.43394,1.52173,1.04918,1.37613,0.000616738,0.000616738,0.000616738
18,1422.96,1.42298,1.14866,1.28863,0.74264,0.72387,0.7764,0.44147,1.49251,1.0315,1.35567,0.000607222,0.000607222,0.000607222
19,1486.59,1.42017,1.12438,1.29643,0.74166,0.73671,0.77921,0.43999,1.53994,1.02561,1.37486,0.000597705,0.000597705,0.000597705
20,1552.12,1.39923,1.09878,1.27794,0.73513,0.73324,0.78092,0.44401,1.52177,1.00317,1.36874,0.000588189,0.000588189,0.000588189
21,1610.68,1.39709,1.08738,1.2781,0.76021,0.73397,0.79258,0.46979,1.44625,0.96551,1.32531,0.000578672,0.000578672,0.000578672
22,1671.01,1.38786,1.07716,1.27278,0.75994,0.74594,0.79251,0.4469,1.53287,0.99587,1.37425,0.000569156,0.000569156,0.000569156
23,1729.84,1.3754,1.07057,1.26552,0.75495,0.74117,0.79858,0.46034,1.48686,0.96738,1.33721,0.00055964,0.00055964,0.00055964
24,1789.28,1.39371,1.06419,1.27471,0.74877,0.74819,0.79633,0.46099,1.47063,0.95447,1.33059,0.000550123,0.000550123,0.000550123
25,1852.01,1.38836,1.05151,1.26557,0.74387,0.76139,0.78896,0.46196,1.45335,0.95606,1.33946,0.000540607,0.000540607,0.000540607
26,1909.41,1.37867,1.04164,1.27066,0.77536,0.75912,0.80831,0.47836,1.43592,0.93877,1.31957,0.000531091,0.000531091,0.000531091
27,1969.72,1.361,1.02847,1.25913,0.75277,0.77415,0.8101,0.46747,1.47208,0.94272,1.33842,0.000521574,0.000521574,0.000521574
28,2027.83,1.35935,1.01543,1.257,0.75034,0.7666,0.802,0.47059,1.45084,0.94516,1.32279,0.000512058,0.000512058,0.000512058
29,2083.75,1.34539,0.98722,1.24725,0.77757,0.76178,0.81573,0.4749,1.46573,0.92585,1.32262,0.000502541,0.000502541,0.000502541
30,2140.19,1.33703,0.97765,1.2465,0.77256,0.775,0.81451,0.47214,1.47323,0.93204,1.34305,0.000493025,0.000493025,0.000493025
31,2196.86,1.33233,0.97519,1.24574,0.77319,0.76516,0.81656,0.47017,1.46376,0.93745,1.34137,0.000483509,0.000483509,0.000483509
32,2250.57,1.33531,0.97978,1.24034,0.77376,0.76853,0.81614,0.48007,1.46046,0.91495,1.32171,0.000473992,0.000473992,0.000473992
33,2306.12,1.33408,0.96512,1.23983,0.79395,0.74797,0.81204,0.48351,1.42856,0.9055,1.31852,0.000464476,0.000464476,0.000464476
34,2360.22,1.32566,0.94818,1.23752,0.79856,0.76235,0.82262,0.4864,1.43945,0.90203,1.32093,0.00045496,0.00045496,0.00045496
35,2412.45,1.31703,0.94913,1.23354,0.77292,0.78345,0.82158,0.48507,1.43834,0.88726,1.31853,0.000445443,0.000445443,0.000445443
36,2467.25,1.30435,0.92932,1.22734,0.79183,0.78353,0.83451,0.49157,1.4369,0.86964,1.31848,0.000435927,0.000435927,0.000435927
37,2521.79,1.3149,0.92979,1.22767,0.78565,0.77339,0.82352,0.48618,1.43858,0.88619,1.32211,0.000426411,0.000426411,0.000426411
38,2574.45,1.30285,0.91959,1.22149,0.79512,0.77848,0.82463,0.48803,1.45067,0.87655,1.32995,0.000416894,0.000416894,0.000416894
39,2627.29,1.30706,0.92003,1.22216,0.78331,0.78462,0.83262,0.48982,1.46041,0.86993,1.32668,0.000407378,0.000407378,0.000407378
40,2681.99,1.28448,0.90126,1.2134,0.79023,0.77262,0.82713,0.49304,1.43478,0.88515,1.32277,0.000397861,0.000397861,0.000397861
41,2734.27,1.28352,0.89439,1.20737,0.75658,0.80753,0.82349,0.48758,1.43688,0.86056,1.31087,0.000388345,0.000388345,0.000388345
42,2785.67,1.27744,0.87108,1.2078,0.79507,0.77392,0.82446,0.49099,1.44379,0.86463,1.3177,0.000378829,0.000378829,0.000378829
43,2836.33,1.27898,0.87442,1.20711,0.78985,0.7917,0.83106,0.50168,1.42682,0.8462,1.31347,0.000369312,0.000369312,0.000369312
44,2886.78,1.25989,0.87514,1.20613,0.79154,0.79016,0.83348,0.49458,1.44402,0.84793,1.31907,0.000359796,0.000359796,0.000359796
