epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.261,1.8563,3.16873,1.78711,0.29786,0.34024,0.26185,0.12654,1.88412,2.37251,1.80465,0.00025577,0.00025577,0.00025577
2,323.096,1.82407,2.43186,1.74528,0.3241,0.32957,0.26073,0.13244,1.953,2.41292,1.81491,0.000505766,0.000505766,0.000505766
3,427.051,1.80382,2.31229,1.72728,0.44132,0.36909,0.34561,0.17051,1.85053,2.08511,1.75108,0.000749418,0.000749418,0.000749418
4,509.733,1.79122,2.23542,1.71149,0.41586,0.41067,0.3683,0.18112,1.82966,2.1008,1.74288,0.000740451,0.000740451,0.000740451
5,595.597,1.76207,2.12449,1.69436,0.44069,0.43653,0.40227,0.19826,1.8397,1.95229,1.7301,0.000730935,0.000730935,0.000730935
6,674.465,1.74956,2.09806,1.67825,0.47246,0.4239,0.41724,0.20501,1.8362,1.94987,1.7074,0.000721418,0.000721418,0.000721418
7,779.985,1.72457,2.02209,1.65797,0.459,0.43357,0.4152,0.20901,1.77478,1.88913,1.68104,0.000711902,0.000711902,0.000711902
8,943.024,1.73023,2.00746,1.65007,0.48127,0.45091,0.43888,0.22038,1.74978,1.91792,1.6802,0.000702385,0.000702385,0.000702385
9,1071.85,1.73512,1.98519,1.6629,0.45271,0.45691,0.43511,0.21335,1.77714,1.87516,1.6983,0.000692869,0.000692869,0.000692869
10,1238.36,1.7155,1.93482,1.6434,0.46815,0.461,0.43817,0.21502,1.78434,1.89105,1.68905,0.000683353,0.000683353,0.000683353
11,1330.04,1.70352,1.91559,1.63841,0.48424,0.46429,0.44812,0.22288,1.80123,1.81007,1.68423,0.000673836,0.000673836,0.000673836
12,1468.97,1.70065,1.91265,1.6335,0.49262,0.4702,0.45577,0.22984,1.775,1.79907,1.68595,0.00066432,0.00066432,0.00066432
13,1617.64,1.69982,1.88457,1.63269,0.51461,0.4641,0.45776,0.22392,1.78505,1.79786,1.67893,0.000654804,0.000654804,0.000654804
14,1778.34,1.69963,1.87759,1.62398,0.49149,0.49205,0.46358,0.22694,1.77471,1.78526,1.67602,0.000645287,0.000645287,0.000645287
15,1926.37,1.69474,1.87097,1.63193,0.47656,0.48365,0.46383,0.23202,1.75915,1.76795,1.66796,0.000635771,0.000635771,0.000635771
