epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.891,2.51027,3.95335,3.23997,0.3262,0.38389,0.32418,0.1674,1.9,2.97051,2.51922,0.00025577,0.00025577,0.00025577
2,383.91,1.893,2.63739,2.31945,0.47391,0.45527,0.44641,0.2151,1.82676,2.13907,2.34367,0.000505766,0.000505766,0.000505766
3,537.947,1.81031,2.265,2.17876,0.45079,0.5327,0.49445,0.25854,1.68049,2.08691,2.17589,0.000749418,0.000749418,0.000749418
4,650.021,1.74943,2.0554,2.0832,0.5856,0.56305,0.5672,0.28088,1.72884,1.78791,2.19982,0.000740451,0.000740451,0.000740451
5,781.656,1.68266,1.85413,2.00481,0.62532,0.60531,0.6121,0.32701,1.629,1.7719,2.10139,0.000730935,0.000730935,0.000730935
6,889.036,1.66718,1.78183,1.96786,0.65983,0.60807,0.65333,0.34376,1.61559,1.5287,2.0459,0.000721418,0.000721418,0.000721418
7,987.442,1.62931,1.67636,1.93568,0.65497,0.63616,0.67061,0.35274,1.65572,1.46967,2.0655,0.000711902,0.000711902,0.000711902
8,1091.88,1.60654,1.63216,1.9021,0.67034,0.65725,0.69163,0.374,1.56042,1.40316,1.97912,0.000702385,0.000702385,0.000702385
9,1189.69,1.59031,1.59763,1.8917,0.67185,0.67145,0.7074,0.37146,1.63441,1.37666,2.03152,0.000692869,0.000692869,0.000692869
10,1286.9,1.56674,1.53951,1.86255,0.68487,0.64698,0.70428,0.38609,1.56999,1.33491,1.9742,0.000683353,0.000683353,0.000683353
11,1376.17,1.55026,1.49438,1.8426,0.72854,0.65616,0.71101,0.39247,1.56749,1.29005,1.96115,0.000673836,0.000673836,0.000673836
12,1461.95,1.53443,1.44907,1.82748,0.72368,0.69186,0.7348,0.41036,1.54163,1.24259,1.92764,0.00066432,0.00066432,0.00066432
13,1546.31,1.52549,1.43059,1.8181,0.68525,0.71102,0.74297,0.42356,1.50807,1.22957,1.90659,0.000654804,0.000654804,0.000654804
14,1627.39,1.52198,1.40289,1.80832,0.71942,0.71649,0.7608,0.42174,1.55013,1.16142,1.91001,0.000645287,0.000645287,0.000645287
15,1714.58,1.51378,1.40052,1.80314,0.72493,0.71651,0.75972,0.42282,1.52383,1.20076,1.909,0.000635771,0.000635771,0.000635771
16,1803.51,1.50738,1.3502,1.79185,0.73199,0.72803,0.76324,0.43236,1.50922,1.156,1.89993,0.000626254,0.000626254,0.000626254
17,1881.17,1.48808,1.32951,1.78519,0.74295,0.7078,0.76303,0.43456,1.50164,1.15202,1.89779,0.000616738,0.000616738,0.000616738
